Date,PX_BID,PX_LAST
6/1/2023,2.249,2.249
5/31/2023,2.282,2.282
5/30/2023,2.342,2.342
5/29/2023,2.434,2.434
5/26/2023,2.538,2.538
5/25/2023,2.522,2.522
5/24/2023,2.472,2.472
5/23/2023,2.469,2.469
5/22/2023,2.459,2.459
5/19/2023,2.428,2.428
5/18/2023,2.446,2.446
5/17/2023,2.336,2.336
5/16/2023,2.353,2.353
5/15/2023,2.309,2.309
5/12/2023,2.276,2.276
5/11/2023,2.225,2.225
5/10/2023,2.288,2.288
5/9/2023,2.35,2.35
5/8/2023,2.319,2.319
5/5/2023,2.291,2.291
5/4/2023,2.19,2.19
5/3/2023,2.247,2.247
5/2/2023,2.258,2.258
5/1/2023,2.313,2.313
4/28/2023,2.313,2.313
4/27/2023,2.46,2.46
4/26/2023,2.397,2.397
4/25/2023,2.384,2.384
4/24/2023,2.508,2.508
4/21/2023,2.481,2.481
4/20/2023,2.445,2.445
4/19/2023,2.515,2.515
4/18/2023,2.477,2.477
4/17/2023,2.473,2.473
4/14/2023,2.44,2.44
4/13/2023,2.372,2.372
4/12/2023,2.37,2.37
4/11/2023,2.311,2.311
4/10/2023,2.183,2.183
4/7/2023,2.183,2.183
4/6/2023,2.183,2.183
4/5/2023,2.182,2.182
4/4/2023,2.249,2.249
4/3/2023,2.255,2.255
3/31/2023,2.292,2.292
3/30/2023,2.374,2.374
3/29/2023,2.329,2.329
3/28/2023,2.29,2.29
3/27/2023,2.227,2.227
3/24/2023,2.129,2.129
3/23/2023,2.195,2.195
3/22/2023,2.328,2.328
3/21/2023,2.292,2.292
3/20/2023,2.125,2.125
3/17/2023,2.108,2.108
3/16/2023,2.29,2.29
3/15/2023,2.13,2.13
3/14/2023,2.42,2.42
3/13/2023,2.259,2.259
3/10/2023,2.508,2.508
3/9/2023,2.643,2.643
3/8/2023,2.646,2.646
3/7/2023,2.692,2.692
3/6/2023,2.749,2.749
3/3/2023,2.715,2.715
3/2/2023,2.751,2.751
3/1/2023,2.711,2.711
2/28/2023,2.651,2.651
2/27/2023,2.582,2.582
2/24/2023,2.537,2.537
2/23/2023,2.478,2.478
2/22/2023,2.52,2.52
2/21/2023,2.529,2.529
2/20/2023,2.464,2.464
2/17/2023,2.44,2.44
2/16/2023,2.478,2.478
2/15/2023,2.475,2.475
2/14/2023,2.438,2.438
2/13/2023,2.368,2.368
2/10/2023,2.364,2.364
2/9/2023,2.303,2.303
2/8/2023,2.363,2.363
2/7/2023,2.349,2.349
2/6/2023,2.296,2.296
2/3/2023,2.193,2.193
2/2/2023,2.08,2.08
2/1/2023,2.284,2.284
1/31/2023,2.286,2.286
1/30/2023,2.318,2.318
1/27/2023,2.239,2.239
1/26/2023,2.216,2.216
1/25/2023,2.158,2.158
1/24/2023,2.155,2.155
1/23/2023,2.206,2.206
1/20/2023,2.177,2.177
1/19/2023,2.065,2.065
1/18/2023,2.023,2.023
1/17/2023,2.091,2.091
1/16/2023,2.175,2.175
1/13/2023,2.168,2.168
1/12/2023,2.159,2.159
1/11/2023,2.204,2.204
1/10/2023,2.308,2.308
1/9/2023,2.228,2.228
1/6/2023,2.21,2.21
1/5/2023,2.316,2.316
1/4/2023,2.272,2.272
1/3/2023,2.389,2.389
1/2/2023,2.444,2.444
12/30/2022,2.571,2.571
12/29/2022,2.438,2.438
12/28/2022,2.502,2.502
12/27/2022,2.524,2.524
12/26/2022,2.403,2.403
12/23/2022,2.403,2.403
12/22/2022,2.361,2.361
12/21/2022,2.314,2.314
12/20/2022,2.304,2.304
12/19/2022,2.203,2.203
12/16/2022,2.152,2.152
12/15/2022,2.083,2.083
12/14/2022,1.94,1.94
12/13/2022,1.925,1.925
12/12/2022,1.939,1.939
12/9/2022,1.933,1.933
12/8/2022,1.82,1.82
12/7/2022,1.782,1.782
12/6/2022,1.8,1.8
12/5/2022,1.88,1.88
12/2/2022,1.856,1.856
12/1/2022,1.814,1.814
11/30/2022,1.93,1.93
11/29/2022,1.922,1.922
11/28/2022,1.992,1.992
11/25/2022,1.974,1.974
11/24/2022,1.85,1.85
11/23/2022,1.93,1.93
11/22/2022,1.978,1.978
11/21/2022,1.994,1.994
11/18/2022,2.014,2.014
11/17/2022,2.02,2.02
11/16/2022,1.996,1.996
11/15/2022,2.108,2.108
11/14/2022,2.147,2.147
11/11/2022,2.16,2.16
11/10/2022,2.009,2.009
11/9/2022,2.172,2.172
11/8/2022,2.281,2.281
11/7/2022,2.343,2.343
11/4/2022,2.295,2.295
11/3/2022,2.245,2.245
11/2/2022,2.141,2.141
11/1/2022,2.131,2.131
10/31/2022,2.142,2.142
10/28/2022,2.103,2.103
10/27/2022,1.962,1.962
10/26/2022,2.111,2.111
10/25/2022,2.17,2.17
10/24/2022,2.33,2.33
10/21/2022,2.417,2.417
10/20/2022,2.404,2.404
10/19/2022,2.376,2.376
10/18/2022,2.285,2.285
10/17/2022,2.269,2.269
10/14/2022,2.346,2.346
10/13/2022,2.287,2.287
10/12/2022,2.314,2.314
10/11/2022,2.298,2.298
10/10/2022,2.342,2.342
10/7/2022,2.194,2.194
10/6/2022,2.085,2.085
10/5/2022,2.034,2.034
10/4/2022,1.871,1.871
10/3/2022,1.917,1.917
9/30/2022,2.108,2.108
9/29/2022,2.181,2.181
9/28/2022,2.12,2.12
9/27/2022,2.231,2.231
9/26/2022,2.115,2.115
9/23/2022,2.024,2.024
9/22/2022,1.965,1.965
9/21/2022,1.893,1.893
9/20/2022,1.926,1.926
9/19/2022,1.805,1.805
9/16/2022,1.756,1.756
9/15/2022,1.77,1.77
9/14/2022,1.716,1.716
9/13/2022,1.73,1.73
9/12/2022,1.653,1.653
9/9/2022,1.698,1.698
9/8/2022,1.717,1.717
9/7/2022,1.577,1.577
9/6/2022,1.638,1.638
9/5/2022,1.563,1.563
9/2/2022,1.525,1.525
9/1/2022,1.561,1.561
8/31/2022,1.541,1.541
8/30/2022,1.511,1.511
8/29/2022,1.504,1.504
8/26/2022,1.39,1.39
8/25/2022,1.317,1.317
8/24/2022,1.37,1.37
8/23/2022,1.319,1.319
8/22/2022,1.306,1.306
8/19/2022,1.23,1.23
8/18/2022,1.102,1.102
8/17/2022,1.083,1.083
8/16/2022,0.971,0.971
8/15/2022,0.9,0.9
8/12/2022,0.987,0.987
8/11/2022,0.971,0.971
8/10/2022,0.888,0.888
8/9/2022,0.921,0.921
8/8/2022,0.899,0.899
8/5/2022,0.955,0.955
8/4/2022,0.803,0.803
8/3/2022,0.874,0.874
8/2/2022,0.82,0.82
8/1/2022,0.779,0.779
7/29/2022,0.817,0.817
7/28/2022,0.826,0.826
7/27/2022,0.946,0.946
7/26/2022,0.925,0.925
7/25/2022,1.018,1.018
7/22/2022,1.031,1.031
7/21/2022,1.223,1.223
7/20/2022,1.257,1.257
7/19/2022,1.277,1.277
7/18/2022,1.215,1.215
7/15/2022,1.133,1.133
7/14/2022,1.178,1.178
7/13/2022,1.145,1.145
7/12/2022,1.132,1.132
7/11/2022,1.246,1.246
7/8/2022,1.345,1.345
7/7/2022,1.318,1.318
7/6/2022,1.206,1.206
7/5/2022,1.179,1.179
7/4/2022,1.333,1.333
7/1/2022,1.232,1.232
6/30/2022,1.336,1.336
6/29/2022,1.519,1.519
6/28/2022,1.628,1.628
6/27/2022,1.547,1.547
6/24/2022,1.442,1.442
6/23/2022,1.428,1.428
6/22/2022,1.638,1.638
6/21/2022,1.771,1.771
6/20/2022,1.749,1.749
6/17/2022,1.661,1.661
6/16/2022,1.714,1.714
6/15/2022,1.644,1.644
6/14/2022,1.758,1.758
6/13/2022,1.632,1.632
6/10/2022,1.516,1.516
6/9/2022,1.43,1.43
6/8/2022,1.354,1.354
6/7/2022,1.293,1.293
6/6/2022,1.322,1.322
6/3/2022,1.273,1.273
6/2/2022,1.237,1.237
6/1/2022,1.187,1.187
5/31/2022,1.122,1.122
5/30/2022,1.055,1.055
5/27/2022,0.963,0.963
5/26/2022,0.998,0.998
5/25/2022,0.952,0.952
5/24/2022,0.967,0.967
5/23/2022,1.017,1.017
5/20/2022,0.944,0.944
5/19/2022,0.949,0.949
5/18/2022,1.03,1.03
5/17/2022,1.046,1.046
5/16/2022,0.937,0.937
5/13/2022,0.948,0.948
5/12/2022,0.84,0.84
5/11/2022,0.986,0.986
5/10/2022,1,1
5/9/2022,1.095,1.095
5/6/2022,1.132,1.132
5/5/2022,1.044,1.044
5/4/2022,0.971,0.971
5/3/2022,0.965,0.965
5/2/2022,0.968,0.968
4/29/2022,0.938,0.938
4/28/2022,0.9,0.9
4/27/2022,0.801,0.801
4/26/2022,0.815,0.815
4/25/2022,0.837,0.837
4/22/2022,0.972,0.972
4/21/2022,0.948,0.948
4/20/2022,0.857,0.857
4/19/2022,0.91,0.91
4/18/2022,0.842,0.842
4/15/2022,0.842,0.842
4/14/2022,0.842,0.842
4/13/2022,0.766,0.766
4/12/2022,0.79,0.79
4/11/2022,0.816,0.816
4/8/2022,0.707,0.707
4/7/2022,0.681,0.681
4/6/2022,0.647,0.647
4/5/2022,0.614,0.614
4/4/2022,0.506,0.506
4/1/2022,0.555,0.555
3/31/2022,0.548,0.548
3/30/2022,0.646,0.646
3/29/2022,0.633,0.633
3/28/2022,0.578,0.578
3/25/2022,0.587,0.587
3/24/2022,0.532,0.532
3/23/2022,0.466,0.466
3/22/2022,0.505,0.505
3/21/2022,0.47,0.47
3/18/2022,0.373,0.373
3/17/2022,0.385,0.385
3/16/2022,0.392,0.392
3/15/2022,0.332,0.332
3/14/2022,0.368,0.368
3/11/2022,0.249,0.249
3/10/2022,0.274,0.274
3/9/2022,0.216,0.216
3/8/2022,0.112,0.112
3/7/2022,-0.015,-0.015
3/4/2022,-0.069,-0.069
3/3/2022,0.02,0.02
3/2/2022,0.027,0.027
3/1/2022,-0.072,-0.072
2/28/2022,0.135,0.135
2/25/2022,0.231,0.231
2/24/2022,0.172,0.172
2/23/2022,0.228,0.228
2/22/2022,0.243,0.243
2/21/2022,0.206,0.206
2/18/2022,0.192,0.192
2/17/2022,0.231,0.231
2/16/2022,0.276,0.276
2/15/2022,0.308,0.308
2/14/2022,0.283,0.283
2/11/2022,0.297,0.297
2/10/2022,0.284,0.284
2/9/2022,0.212,0.212
2/8/2022,0.265,0.265
2/7/2022,0.228,0.228
2/4/2022,0.205,0.205
2/3/2022,0.143,0.143
2/2/2022,0.04,0.04
2/1/2022,0.037,0.037
1/31/2022,0.011,0.011
1/28/2022,-0.045,-0.045
1/27/2022,-0.059,-0.059
1/26/2022,-0.074,-0.074
1/25/2022,-0.08,-0.08
1/24/2022,-0.107,-0.107
1/21/2022,-0.065,-0.065
1/20/2022,-0.024,-0.024
1/19/2022,-0.012,-0.012
1/18/2022,-0.018,-0.018
1/17/2022,-0.025,-0.025
1/14/2022,-0.046,-0.046
1/13/2022,-0.09,-0.09
1/12/2022,-0.059,-0.059
1/11/2022,-0.027,-0.027
1/10/2022,-0.034,-0.034
1/7/2022,-0.043,-0.043
1/6/2022,-0.061,-0.061
1/5/2022,-0.084,-0.084
1/4/2022,-0.122,-0.122
1/3/2022,-0.118,-0.118
12/31/2021,-0.177,-0.177
12/30/2021,-0.177,-0.177
12/29/2021,-0.184,-0.184
12/28/2021,-0.236,-0.236
12/27/2021,-0.243,-0.243
12/24/2021,-0.25,-0.25
12/23/2021,-0.249,-0.249
12/22/2021,-0.293,-0.293
12/21/2021,-0.306,-0.306
12/20/2021,-0.366,-0.366
12/17/2021,-0.378,-0.378
12/16/2021,-0.348,-0.348
12/15/2021,-0.36,-0.36
12/14/2021,-0.369,-0.369
12/13/2021,-0.382,-0.382
12/10/2021,-0.346,-0.346
12/9/2021,-0.353,-0.353
12/8/2021,-0.313,-0.313
12/7/2021,-0.375,-0.375
12/6/2021,-0.388,-0.388
12/3/2021,-0.388,-0.388
12/2/2021,-0.369,-0.369
12/1/2021,-0.343,-0.343
11/30/2021,-0.349,-0.349
11/29/2021,-0.317,-0.317
11/26/2021,-0.335,-0.335
11/25/2021,-0.251,-0.251
11/24/2021,-0.228,-0.228
11/23/2021,-0.22,-0.22
11/22/2021,-0.301,-0.301
11/19/2021,-0.342,-0.342
11/18/2021,-0.275,-0.275
11/17/2021,-0.246,-0.246
11/16/2021,-0.242,-0.242
11/15/2021,-0.229,-0.229
11/12/2021,-0.259,-0.259
11/11/2021,-0.231,-0.231
11/10/2021,-0.247,-0.247
11/9/2021,-0.298,-0.298
11/8/2021,-0.243,-0.243
11/5/2021,-0.28,-0.28
11/4/2021,-0.224,-0.224
11/3/2021,-0.168,-0.168
11/2/2021,-0.165,-0.165
11/1/2021,-0.102,-0.102
10/29/2021,-0.106,-0.106
10/28/2021,-0.136,-0.136
10/27/2021,-0.178,-0.178
10/26/2021,-0.117,-0.117
10/25/2021,-0.114,-0.114
10/22/2021,-0.105,-0.105
10/21/2021,-0.102,-0.102
10/20/2021,-0.126,-0.126
10/19/2021,-0.106,-0.106
10/18/2021,-0.148,-0.148
10/15/2021,-0.167,-0.167
10/14/2021,-0.191,-0.191
10/13/2021,-0.127,-0.127
10/12/2021,-0.086,-0.086
10/11/2021,-0.121,-0.121
10/8/2021,-0.151,-0.151
10/7/2021,-0.185,-0.185
10/6/2021,-0.182,-0.182
10/5/2021,-0.188,-0.188
10/4/2021,-0.214,-0.214
10/1/2021,-0.224,-0.224
9/30/2021,-0.199,-0.199
9/29/2021,-0.213,-0.213
9/28/2021,-0.199,-0.199
9/27/2021,-0.223,-0.223
9/24/2021,-0.228,-0.228
9/23/2021,-0.258,-0.258
9/22/2021,-0.324,-0.324
9/21/2021,-0.317,-0.317
9/20/2021,-0.32,-0.32
9/17/2021,-0.28,-0.28
9/16/2021,-0.302,-0.302
9/15/2021,-0.306,-0.306
9/14/2021,-0.34,-0.34
9/13/2021,-0.331,-0.331
9/10/2021,-0.33,-0.33
9/9/2021,-0.361,-0.361
9/8/2021,-0.323,-0.323
9/7/2021,-0.322,-0.322
9/6/2021,-0.367,-0.367
9/3/2021,-0.361,-0.361
9/2/2021,-0.385,-0.385
9/1/2021,-0.373,-0.373
8/31/2021,-0.383,-0.383
8/30/2021,-0.439,-0.439
8/27/2021,-0.423,-0.423
8/26/2021,-0.407,-0.407
8/25/2021,-0.422,-0.422
8/24/2021,-0.478,-0.478
8/23/2021,-0.481,-0.481
8/20/2021,-0.495,-0.495
8/19/2021,-0.489,-0.489
8/18/2021,-0.482,-0.482
8/17/2021,-0.471,-0.471
8/16/2021,-0.469,-0.469
8/13/2021,-0.467,-0.467
8/12/2021,-0.46,-0.46
8/11/2021,-0.464,-0.464
8/10/2021,-0.457,-0.457
8/9/2021,-0.46,-0.46
8/6/2021,-0.456,-0.456
8/5/2021,-0.498,-0.498
8/4/2021,-0.501,-0.501
8/3/2021,-0.482,-0.482
8/2/2021,-0.487,-0.487
7/30/2021,-0.461,-0.461
7/29/2021,-0.45,-0.45
7/28/2021,-0.45,-0.45
7/27/2021,-0.441,-0.441
7/26/2021,-0.418,-0.418
7/23/2021,-0.42,-0.42
7/22/2021,-0.426,-0.426
7/21/2021,-0.395,-0.395
7/20/2021,-0.41,-0.41
7/19/2021,-0.386,-0.386
7/16/2021,-0.353,-0.353
7/15/2021,-0.334,-0.334
7/14/2021,-0.319,-0.319
7/13/2021,-0.294,-0.294
7/12/2021,-0.295,-0.295
7/9/2021,-0.293,-0.293
7/8/2021,-0.307,-0.307
7/7/2021,-0.298,-0.298
7/6/2021,-0.268,-0.268
7/5/2021,-0.21,-0.21
7/2/2021,-0.235,-0.235
7/1/2021,-0.201,-0.201
6/30/2021,-0.207,-0.207
6/29/2021,-0.17,-0.17
6/28/2021,-0.19,-0.19
6/25/2021,-0.155,-0.155
6/24/2021,-0.188,-0.188
6/23/2021,-0.178,-0.178
6/22/2021,-0.164,-0.164
6/21/2021,-0.171,-0.171
6/18/2021,-0.2,-0.2
6/17/2021,-0.195,-0.195
6/16/2021,-0.25,-0.25
6/15/2021,-0.232,-0.232
6/14/2021,-0.251,-0.251
6/11/2021,-0.274,-0.274
6/10/2021,-0.256,-0.256
6/9/2021,-0.244,-0.244
6/8/2021,-0.224,-0.224
6/7/2021,-0.198,-0.198
6/4/2021,-0.213,-0.213
6/3/2021,-0.183,-0.183
6/2/2021,-0.198,-0.198
6/1/2021,-0.178,-0.178
5/31/2021,-0.187,-0.187
5/28/2021,-0.183,-0.183
5/27/2021,-0.172,-0.172
5/26/2021,-0.206,-0.206
5/25/2021,-0.167,-0.167
5/24/2021,-0.14,-0.14
5/21/2021,-0.13,-0.13
5/20/2021,-0.109,-0.109
5/19/2021,-0.11,-0.11
5/18/2021,-0.103,-0.103
5/17/2021,-0.115,-0.115
5/14/2021,-0.129,-0.129
5/13/2021,-0.12,-0.12
5/12/2021,-0.123,-0.123
5/11/2021,-0.161,-0.161
5/10/2021,-0.212,-0.212
5/7/2021,-0.215,-0.215
5/6/2021,-0.225,-0.225
5/5/2021,-0.228,-0.228
5/4/2021,-0.238,-0.238
5/3/2021,-0.204,-0.204
4/30/2021,-0.202,-0.202
4/29/2021,-0.193,-0.193
4/28/2021,-0.231,-0.231
4/27/2021,-0.249,-0.249
4/26/2021,-0.253,-0.253
4/23/2021,-0.257,-0.257
4/22/2021,-0.252,-0.252
4/21/2021,-0.262,-0.262
4/20/2021,-0.262,-0.262
4/19/2021,-0.235,-0.235
4/16/2021,-0.262,-0.262
4/15/2021,-0.29,-0.29
4/14/2021,-0.258,-0.258
4/13/2021,-0.292,-0.292
4/12/2021,-0.293,-0.293
4/9/2021,-0.303,-0.303
4/8/2021,-0.336,-0.336
4/7/2021,-0.324,-0.324
4/6/2021,-0.316,-0.316
4/5/2021,-0.328,-0.328
4/2/2021,-0.328,-0.328
4/1/2021,-0.328,-0.328
3/31/2021,-0.292,-0.292
3/30/2021,-0.286,-0.286
3/29/2021,-0.318,-0.318
3/26/2021,-0.346,-0.346
3/25/2021,-0.384,-0.384
3/24/2021,-0.353,-0.353
3/23/2021,-0.341,-0.341
3/22/2021,-0.311,-0.311
3/19/2021,-0.294,-0.294
3/18/2021,-0.264,-0.264
3/17/2021,-0.291,-0.291
3/16/2021,-0.336,-0.336
3/15/2021,-0.334,-0.334
3/12/2021,-0.306,-0.306
3/11/2021,-0.334,-0.334
3/10/2021,-0.313,-0.313
3/9/2021,-0.301,-0.301
3/8/2021,-0.277,-0.277
3/5/2021,-0.302,-0.302
3/4/2021,-0.311,-0.311
3/3/2021,-0.288,-0.288
3/2/2021,-0.352,-0.352
3/1/2021,-0.334,-0.334
2/26/2021,-0.26,-0.26
2/25/2021,-0.232,-0.232
2/24/2021,-0.304,-0.304
2/23/2021,-0.315,-0.315
2/22/2021,-0.339,-0.339
2/19/2021,-0.305,-0.305
2/18/2021,-0.346,-0.346
2/17/2021,-0.368,-0.368
2/16/2021,-0.348,-0.348
2/15/2021,-0.381,-0.381
2/12/2021,-0.428,-0.428
2/11/2021,-0.458,-0.458
2/10/2021,-0.437,-0.437
2/9/2021,-0.446,-0.446
2/8/2021,-0.445,-0.445
2/5/2021,-0.448,-0.448
2/4/2021,-0.454,-0.454
2/3/2021,-0.464,-0.464
2/2/2021,-0.489,-0.489
2/1/2021,-0.516,-0.516
1/29/2021,-0.518,-0.518
1/28/2021,-0.539,-0.539
1/27/2021,-0.546,-0.546
1/26/2021,-0.533,-0.533
1/25/2021,-0.55,-0.55
1/22/2021,-0.512,-0.512
1/21/2021,-0.496,-0.496
1/20/2021,-0.529,-0.529
1/19/2021,-0.526,-0.526
1/18/2021,-0.527,-0.527
1/15/2021,-0.543,-0.543
1/14/2021,-0.55,-0.55
1/13/2021,-0.522,-0.522
1/12/2021,-0.468,-0.468
1/11/2021,-0.496,-0.496
1/8/2021,-0.519,-0.519
1/7/2021,-0.522,-0.522
1/6/2021,-0.52,-0.52
1/5/2021,-0.577,-0.577
1/4/2021,-0.604,-0.604
1/1/2021,-0.569,-0.569
12/31/2020,-0.569,-0.569
12/30/2020,-0.569,-0.569
12/29/2020,-0.571,-0.571
12/28/2020,-0.565,-0.565
12/25/2020,-0.548,-0.548
12/24/2020,-0.548,-0.548
12/23/2020,-0.547,-0.547
12/22/2020,-0.595,-0.595
12/21/2020,-0.58,-0.58
12/18/2020,-0.571,-0.571
12/17/2020,-0.57,-0.57
12/16/2020,-0.567,-0.567
12/15/2020,-0.611,-0.611
12/14/2020,-0.62,-0.62
12/11/2020,-0.636,-0.636
12/10/2020,-0.603,-0.603
12/9/2020,-0.605,-0.605
12/8/2020,-0.607,-0.607
12/7/2020,-0.582,-0.582
12/4/2020,-0.547,-0.547
12/3/2020,-0.556,-0.556
12/2/2020,-0.519,-0.519
12/1/2020,-0.528,-0.528
11/30/2020,-0.571,-0.571
11/27/2020,-0.588,-0.588
11/26/2020,-0.588,-0.588
11/25/2020,-0.568,-0.568
11/24/2020,-0.563,-0.563
11/23/2020,-0.581,-0.581
11/20/2020,-0.583,-0.583
11/19/2020,-0.571,-0.571
11/18/2020,-0.554,-0.554
11/17/2020,-0.563,-0.563
11/16/2020,-0.545,-0.545
11/13/2020,-0.547,-0.547
11/12/2020,-0.536,-0.536
11/11/2020,-0.507,-0.507
11/10/2020,-0.485,-0.485
11/9/2020,-0.509,-0.509
11/6/2020,-0.621,-0.621
11/5/2020,-0.637,-0.637
11/4/2020,-0.638,-0.638
11/3/2020,-0.62,-0.62
11/2/2020,-0.64,-0.64
10/30/2020,-0.627,-0.627
10/29/2020,-0.636,-0.636
10/28/2020,-0.625,-0.625
10/27/2020,-0.615,-0.615
10/26/2020,-0.58,-0.58
10/23/2020,-0.574,-0.574
10/22/2020,-0.566,-0.566
10/21/2020,-0.588,-0.588
10/20/2020,-0.606,-0.606
10/19/2020,-0.628,-0.628
10/16/2020,-0.622,-0.622
10/15/2020,-0.61,-0.61
10/14/2020,-0.581,-0.581
10/13/2020,-0.556,-0.556
10/12/2020,-0.545,-0.545
10/9/2020,-0.527,-0.527
10/8/2020,-0.523,-0.523
10/7/2020,-0.493,-0.493
10/6/2020,-0.507,-0.507
10/5/2020,-0.51,-0.51
10/2/2020,-0.536,-0.536
10/1/2020,-0.536,-0.536
9/30/2020,-0.522,-0.522
9/29/2020,-0.545,-0.545
9/28/2020,-0.528,-0.528
9/25/2020,-0.529,-0.529
9/24/2020,-0.501,-0.501
9/23/2020,-0.505,-0.505
9/22/2020,-0.505,-0.505
9/21/2020,-0.53,-0.53
9/18/2020,-0.485,-0.485
9/17/2020,-0.491,-0.491
9/16/2020,-0.484,-0.484
9/15/2020,-0.479,-0.479
9/14/2020,-0.48,-0.48
9/11/2020,-0.481,-0.481
9/10/2020,-0.433,-0.433
9/9/2020,-0.462,-0.462
9/8/2020,-0.495,-0.495
9/7/2020,-0.463,-0.463
9/4/2020,-0.472,-0.472
9/3/2020,-0.488,-0.488
9/2/2020,-0.473,-0.473
9/1/2020,-0.42,-0.42
8/31/2020,-0.397,-0.397
8/28/2020,-0.409,-0.409
8/27/2020,-0.407,-0.407
8/26/2020,-0.415,-0.415
8/25/2020,-0.431,-0.431
8/24/2020,-0.491,-0.491
8/21/2020,-0.507,-0.507
8/20/2020,-0.496,-0.496
8/19/2020,-0.472,-0.472
8/18/2020,-0.463,-0.463
8/17/2020,-0.451,-0.451
8/14/2020,-0.421,-0.421
8/13/2020,-0.412,-0.412
8/12/2020,-0.447,-0.447
8/11/2020,-0.478,-0.478
8/10/2020,-0.526,-0.526
8/7/2020,-0.509,-0.509
8/6/2020,-0.531,-0.531
8/5/2020,-0.506,-0.506
8/4/2020,-0.553,-0.553
8/3/2020,-0.523,-0.523
7/31/2020,-0.524,-0.524
7/30/2020,-0.542,-0.542
7/29/2020,-0.498,-0.498
7/28/2020,-0.508,-0.508
7/27/2020,-0.491,-0.491
7/24/2020,-0.448,-0.448
7/23/2020,-0.481,-0.481
7/22/2020,-0.49,-0.49
7/21/2020,-0.46,-0.46
7/20/2020,-0.46,-0.46
7/17/2020,-0.447,-0.447
7/16/2020,-0.465,-0.465
7/15/2020,-0.444,-0.444
7/14/2020,-0.447,-0.447
7/13/2020,-0.417,-0.417
7/10/2020,-0.465,-0.465
7/9/2020,-0.463,-0.463
7/8/2020,-0.44,-0.44
7/7/2020,-0.429,-0.429
7/6/2020,-0.431,-0.431
7/3/2020,-0.432,-0.432
7/2/2020,-0.428,-0.428
7/1/2020,-0.395,-0.395
6/30/2020,-0.454,-0.454
6/29/2020,-0.47,-0.47
6/26/2020,-0.482,-0.482
