Security,LP06TREU Index,
5/12/2023,208.1106,#N/A N/A
5/11/2023,208.6537,#N/A N/A
5/10/2023,207.9215,#N/A N/A
5/9/2023,207.3231,#N/A N/A
5/8/2023,207.502,#N/A N/A
5/5/2023,207.7774,#N/A N/A
5/4/2023,208.6896,#N/A N/A
5/3/2023,207.8468,#N/A N/A
5/2/2023,207.9414,#N/A N/A
5/1/2023,207.473,#N/A N/A
4/28/2023,207.4288,#N/A N/A
4/27/2023,205.7496,#N/A N/A
4/26/2023,206.5425,#N/A N/A
4/25/2023,206.6849,#N/A N/A
4/24/2023,205.4078,#N/A N/A
4/21/2023,205.3302,#N/A N/A
4/20/2023,205.7747,#N/A N/A
4/19/2023,205.1902,#N/A N/A
4/18/2023,205.8978,#N/A N/A
4/17/2023,205.6362,#N/A N/A
4/14/2023,206.1533,#N/A N/A
4/13/2023,206.9597,#N/A N/A
4/12/2023,207.0514,#N/A N/A
4/11/2023,207.7404,#N/A N/A
4/6/2023,209.2377,#N/A N/A
4/5/2023,209.3288,#N/A N/A
4/4/2023,208.4348,#N/A N/A
4/3/2023,208.6097,#N/A N/A
3/31/2023,207.4687,#N/A N/A
3/30/2023,206.8093,#N/A N/A
3/29/2023,207.5157,#N/A N/A
3/28/2023,207.5483,#N/A N/A
3/27/2023,208.5995,#N/A N/A
3/24/2023,209.483,#N/A N/A
3/23/2023,208.4546,#N/A N/A
3/22/2023,206.8848,#N/A N/A
3/21/2023,207.6774,#N/A N/A
3/20/2023,209.2303,#N/A N/A
3/17/2023,209.4568,#N/A N/A
3/16/2023,208.0426,#N/A N/A
3/15/2023,208.9686,#N/A N/A
3/14/2023,205.455,#N/A N/A
3/13/2023,207.5224,#N/A N/A
3/10/2023,205.2343,#N/A N/A
3/9/2023,203.082,#N/A N/A
3/8/2023,203.212,#N/A N/A
3/7/2023,202.3278,#N/A N/A
3/6/2023,202.2947,#N/A N/A
3/3/2023,202.1848,#N/A N/A
3/2/2023,201.8836,#N/A N/A
3/1/2023,202.133,#N/A N/A
2/28/2023,203.4586,#N/A N/A
2/27/2023,203.884,#N/A N/A
2/24/2023,204.3177,#N/A N/A
2/23/2023,205.2256,#N/A N/A
2/22/2023,204.8248,#N/A N/A
2/21/2023,204.6612,#N/A N/A
2/20/2023,205.6769,#N/A N/A
2/17/2023,205.5659,#N/A N/A
2/16/2023,205.4166,#N/A N/A
2/15/2023,205.721,#N/A N/A
2/14/2023,206.4379,#N/A N/A
2/13/2023,207.1219,#N/A N/A
2/10/2023,207.1864,#N/A N/A
2/9/2023,208.2087,#N/A N/A
2/8/2023,207.4265,#N/A N/A
2/7/2023,207.9235,#N/A N/A
2/6/2023,208.0501,#N/A N/A
2/3/2023,209.195,#N/A N/A
2/2/2023,211.2175,#N/A N/A
2/1/2023,207.5094,#N/A N/A
1/31/2023,207.7535,#N/A N/A
1/30/2023,207.7848,#N/A N/A
1/27/2023,208.4604,#N/A N/A
1/26/2023,208.7945,#N/A N/A
1/25/2023,209.2962,#N/A N/A
1/24/2023,209.2381,#N/A N/A
1/23/2023,208.7293,#N/A N/A
1/20/2023,209.2139,#N/A N/A
1/19/2023,210.7667,#N/A N/A
1/18/2023,211.4,#N/A N/A
1/17/2023,209.972,#N/A N/A
1/16/2023,208.5172,#N/A N/A
1/13/2023,208.6026,#N/A N/A
1/12/2023,208.4993,#N/A N/A
1/11/2023,207.8448,#N/A N/A
1/10/2023,206.3411,#N/A N/A
1/9/2023,206.9127,#N/A N/A
1/6/2023,207.2833,#N/A N/A
1/5/2023,205.767,#N/A N/A
1/4/2023,206.6924,#N/A N/A
1/3/2023,205.0644,#N/A N/A
12/30/2022,202.9459,#N/A N/A
12/29/2022,203.9209,#N/A N/A
12/28/2022,203.6282,#N/A N/A
12/23/2022,204.857,#N/A N/A
12/22/2022,205.3181,#N/A N/A
12/21/2022,206.0005,#N/A N/A
12/20/2022,205.8915,#N/A N/A
12/19/2022,207.4555,#N/A N/A
12/16/2022,207.9525,#N/A N/A
12/15/2022,209.5018,#N/A N/A
12/14/2022,211.6824,#N/A N/A
12/13/2022,212.107,#N/A N/A
12/12/2022,211.871,#N/A N/A
12/9/2022,212.0871,#N/A N/A
12/8/2022,213.1959,#N/A N/A
12/7/2022,213.6371,#N/A N/A
12/6/2022,213.4548,#N/A N/A
12/5/2022,212.5857,#N/A N/A
12/2/2022,212.5517,#N/A N/A
12/1/2022,213.2553,#N/A N/A
11/30/2022,211.2624,#N/A N/A
11/29/2022,211.9226,#N/A N/A
11/28/2022,211.0352,#N/A N/A
11/25/2022,211.2423,#N/A N/A
11/24/2022,212.9964,#N/A N/A
11/23/2022,212.0664,#N/A N/A
11/22/2022,210.5826,#N/A N/A
11/21/2022,210.294,#N/A N/A
11/18/2022,209.8417,#N/A N/A
11/17/2022,209.2491,#N/A N/A
11/16/2022,209.7522,#N/A N/A
11/15/2022,208.5158,#N/A N/A
11/14/2022,207.158,#N/A N/A
11/11/2022,207.2366,#N/A N/A
11/10/2022,209.1924,#N/A N/A
11/9/2022,206.1502,#N/A N/A
11/8/2022,205.24,#N/A N/A
11/7/2022,204.3223,#N/A N/A
11/4/2022,204.386,#N/A N/A
11/3/2022,204.9504,#N/A N/A
11/2/2022,206.6844,#N/A N/A
11/1/2022,206.6922,#N/A N/A
10/31/2022,206.1992,#N/A N/A
10/28/2022,207.3458,#N/A N/A
10/27/2022,207.7719,#N/A N/A
10/26/2022,205.8349,#N/A N/A
10/25/2022,205.2411,#N/A N/A
10/24/2022,203.0306,#N/A N/A
10/21/2022,201.118,#N/A N/A
10/20/2022,202.1596,#N/A N/A
10/19/2022,202.335,#N/A N/A
10/18/2022,202.7142,#N/A N/A
10/17/2022,202.5022,#N/A N/A
10/14/2022,200.7428,#N/A N/A
10/13/2022,201.2763,#N/A N/A
10/12/2022,200.1001,#N/A N/A
10/11/2022,200.993,#N/A N/A
10/10/2022,200.7615,#N/A N/A
10/7/2022,202.4716,#N/A N/A
10/6/2022,203.9554,#N/A N/A
10/5/2022,205.1538,#N/A N/A
10/4/2022,207.4574,#N/A N/A
10/3/2022,207.0548,#N/A N/A
9/30/2022,204.4269,#N/A N/A
9/29/2022,203.2122,#N/A N/A
9/28/2022,203.5604,#N/A N/A
9/27/2022,201.6745,#N/A N/A
9/26/2022,203.9837,#N/A N/A
9/23/2022,205.7953,#N/A N/A
9/22/2022,207.7311,#N/A N/A
9/21/2022,209.1097,#N/A N/A
9/20/2022,208.638,#N/A N/A
9/16/2022,210.6607,#N/A N/A
9/15/2022,211.5467,#N/A N/A
9/14/2022,212.1485,#N/A N/A
9/13/2022,211.7607,#N/A N/A
9/12/2022,212.9118,#N/A N/A
9/9/2022,211.7613,#N/A N/A
9/8/2022,211.9671,#N/A N/A
9/7/2022,213.3776,#N/A N/A
9/6/2022,213.1467,#N/A N/A
9/5/2022,213.4593,#N/A N/A
9/2/2022,213.9333,#N/A N/A
9/1/2022,213.2148,#N/A N/A
8/31/2022,214.1717,#N/A N/A
8/30/2022,215.0396,#N/A N/A
8/26/2022,217.3451,#N/A N/A
8/25/2022,218.5254,#N/A N/A
8/24/2022,217.5937,#N/A N/A
8/23/2022,218.6052,#N/A N/A
8/22/2022,219.1624,#N/A N/A
8/19/2022,220.1612,#N/A N/A
8/18/2022,222.6235,#N/A N/A
8/17/2022,222.6329,#N/A N/A
8/16/2022,224.5703,#N/A N/A
8/15/2022,225.9802,#N/A N/A
8/12/2022,224.4057,#N/A N/A
8/11/2022,224.8464,#N/A N/A
8/10/2022,226.3469,#N/A N/A
8/9/2022,225.5073,#N/A N/A
8/8/2022,226.3012,#N/A N/A
8/5/2022,225.5828,#N/A N/A
8/4/2022,227.5808,#N/A N/A
8/3/2022,226.9102,#N/A N/A
8/2/2022,227.9439,#N/A N/A
8/1/2022,228.2833,#N/A N/A
7/29/2022,227.0547,#N/A N/A
7/28/2022,226.6598,#N/A N/A
7/27/2022,224.358,#N/A N/A
7/26/2022,224.5726,#N/A N/A
7/25/2022,223.2831,#N/A N/A
7/22/2022,222.9781,#N/A N/A
7/21/2022,220.5184,#N/A N/A
7/20/2022,219.8046,#N/A N/A
7/19/2022,219.398,#N/A N/A
7/18/2022,220.2079,#N/A N/A
7/15/2022,221.0366,#N/A N/A
7/14/2022,220.5805,#N/A N/A
7/13/2022,221.5027,#N/A N/A
7/12/2022,221.8725,#N/A N/A
7/11/2022,220.1193,#N/A N/A
7/8/2022,219.1779,#N/A N/A
7/7/2022,219.6651,#N/A N/A
7/6/2022,220.46,#N/A N/A
7/5/2022,219.8266,#N/A N/A
7/4/2022,217.8791,#N/A N/A
7/1/2022,219.7738,#N/A N/A
6/30/2022,217.4325,#N/A N/A
6/29/2022,215.8738,#N/A N/A
6/28/2022,214.3409,#N/A N/A
6/27/2022,215.6194,#N/A N/A
6/24/2022,217.168,#N/A N/A
6/23/2022,217.3327,#N/A N/A
6/22/2022,214.4192,#N/A N/A
6/21/2022,212.3155,#N/A N/A
6/20/2022,212.8181,#N/A N/A
6/17/2022,213.9901,#N/A N/A
6/16/2022,213.5393,#N/A N/A
6/15/2022,214.0202,#N/A N/A
6/14/2022,212.0768,#N/A N/A
6/13/2022,213.9812,#N/A N/A
6/10/2022,216.7876,#N/A N/A
6/9/2022,218.4383,#N/A N/A
6/8/2022,219.719,#N/A N/A
6/7/2022,220.7979,#N/A N/A
6/6/2022,219.9003,#N/A N/A
6/1/2022,222.1646,#N/A N/A
5/31/2022,222.9665,#N/A N/A
5/30/2022,224.3772,#N/A N/A
5/27/2022,225.4953,#N/A N/A
5/26/2022,224.7143,#N/A N/A
5/25/2022,225.513,#N/A N/A
5/24/2022,225.4517,#N/A N/A
5/23/2022,225.0077,#N/A N/A
5/20/2022,225.9773,#N/A N/A
5/19/2022,226.3483,#N/A N/A
5/18/2022,225.9626,#N/A N/A
5/17/2022,225.6724,#N/A N/A
5/16/2022,227.068,#N/A N/A
5/13/2022,226.7741,#N/A N/A
5/12/2022,227.7244,#N/A N/A
5/11/2022,225.3061,#N/A N/A
5/10/2022,225.0807,#N/A N/A
5/9/2022,223.5978,#N/A N/A
5/6/2022,223.1679,#N/A N/A
5/5/2022,225.2427,#N/A N/A
5/4/2022,226.0757,#N/A N/A
5/3/2022,226.7994,#N/A N/A
5/2/2022,226.8437,#N/A N/A
4/29/2022,227.2093,#N/A N/A
4/28/2022,227.6945,#N/A N/A
4/27/2022,229.4578,#N/A N/A
4/26/2022,229.7607,#N/A N/A
4/25/2022,229.158,#N/A N/A
4/22/2022,227.9757,#N/A N/A
4/21/2022,228.7685,#N/A N/A
4/20/2022,229.7248,#N/A N/A
4/19/2022,228.8046,#N/A N/A
4/14/2022,230.3591,#N/A N/A
4/13/2022,231.3355,#N/A N/A
4/12/2022,230.9042,#N/A N/A
4/11/2022,230.4746,#N/A N/A
4/8/2022,231.9072,#N/A N/A
4/7/2022,232.3291,#N/A N/A
4/6/2022,232.7608,#N/A N/A
4/5/2022,233.6818,#N/A N/A
4/4/2022,235.3705,#N/A N/A
4/1/2022,234.3729,#N/A N/A
3/31/2022,234.7172,#N/A N/A
3/30/2022,233.2844,#N/A N/A
3/29/2022,233.7135,#N/A N/A
3/28/2022,234.7076,#N/A N/A
3/25/2022,234.9327,#N/A N/A
3/24/2022,235.3407,#N/A N/A
3/23/2022,235.7564,#N/A N/A
3/22/2022,235.3211,#N/A N/A
3/21/2022,236.0889,#N/A N/A
3/18/2022,237.334,#N/A N/A
3/17/2022,236.3992,#N/A N/A
3/16/2022,236.3739,#N/A N/A
3/15/2022,236.9254,#N/A N/A
3/14/2022,236.1937,#N/A N/A
3/11/2022,237.7109,#N/A N/A
3/10/2022,237.7857,#N/A N/A
3/9/2022,239.1271,#N/A N/A
3/8/2022,240.9692,#N/A N/A
3/7/2022,243.4016,#N/A N/A
3/4/2022,244.7879,#N/A N/A
3/3/2022,243.1421,#N/A N/A
3/2/2022,243.5999,#N/A N/A
3/1/2022,244.9671,#N/A N/A
2/28/2022,240.8361,#N/A N/A
2/25/2022,240.2767,#N/A N/A
2/24/2022,240.8046,#N/A N/A
2/23/2022,240.6937,#N/A N/A
2/22/2022,240.69,#N/A N/A
2/21/2022,241.5421,#N/A N/A
2/18/2022,241.8789,#N/A N/A
2/17/2022,241.3695,#N/A N/A
2/16/2022,240.5708,#N/A N/A
2/15/2022,239.629,#N/A N/A
2/14/2022,240.1807,#N/A N/A
2/11/2022,240.3408,#N/A N/A
2/10/2022,240.5435,#N/A N/A
2/9/2022,241.8573,#N/A N/A
2/8/2022,240.8852,#N/A N/A
2/7/2022,241.4991,#N/A N/A
2/4/2022,242.413,#N/A N/A
2/3/2022,244.024,#N/A N/A
2/2/2022,246.6869,#N/A N/A
2/1/2022,246.3288,#N/A N/A
1/31/2022,246.5257,#N/A N/A
1/28/2022,247.701,#N/A N/A
1/27/2022,248.059,#N/A N/A
1/26/2022,247.9461,#N/A N/A
1/25/2022,248.5797,#N/A N/A
1/24/2022,248.7368,#N/A N/A
1/21/2022,248.5388,#N/A N/A
1/20/2022,248.2707,#N/A N/A
1/19/2022,247.6568,#N/A N/A
1/18/2022,247.9678,#N/A N/A
1/17/2022,248.2342,#N/A N/A
1/14/2022,248.7854,#N/A N/A
1/13/2022,249.5852,#N/A N/A
1/12/2022,249.0175,#N/A N/A
1/11/2022,248.4511,#N/A N/A
1/10/2022,248.4364,#N/A N/A
1/7/2022,248.4672,#N/A N/A
1/6/2022,248.909,#N/A N/A
1/5/2022,249.6621,#N/A N/A
1/4/2022,249.7934,#N/A N/A
1/3/2022,249.912,#N/A N/A
12/31/2021,250.3448,#N/A N/A
12/30/2021,250.3017,#N/A N/A
12/29/2021,250.1462,#N/A N/A
12/28/2021,251.3411,#N/A N/A
12/27/2021,251.1433,#N/A N/A
12/24/2021,251.1379,#N/A N/A
12/23/2021,251.086,#N/A N/A
12/22/2021,251.7063,#N/A N/A
12/21/2021,251.8649,#N/A N/A
12/20/2021,253.3321,#N/A N/A
12/17/2021,253.6983,#N/A N/A
12/16/2021,253.5554,#N/A N/A
12/15/2021,253.835,#N/A N/A
12/14/2021,254.0555,#N/A N/A
12/13/2021,254.388,#N/A N/A
12/10/2021,253.8542,#N/A N/A
12/9/2021,253.6711,#N/A N/A
12/8/2021,253.0973,#N/A N/A
12/7/2021,254.5256,#N/A N/A
12/6/2021,254.2987,#N/A N/A
12/3/2021,253.7333,#N/A N/A
12/2/2021,253.6674,#N/A N/A
12/1/2021,252.8299,#N/A N/A
11/30/2021,253.2073,#N/A N/A
11/29/2021,252.6113,#N/A N/A
11/26/2021,252.8063,#N/A N/A
11/25/2021,251.6191,#N/A N/A
11/24/2021,251.1204,#N/A N/A
11/23/2021,251.4893,#N/A N/A
11/22/2021,252.8093,#N/A N/A
11/19/2021,253.5297,#N/A N/A
11/18/2021,252.4434,#N/A N/A
11/17/2021,251.8831,#N/A N/A
11/16/2021,251.8039,#N/A N/A
11/15/2021,251.7547,#N/A N/A
11/12/2021,251.9151,#N/A N/A
11/11/2021,251.7155,#N/A N/A
11/10/2021,252.1794,#N/A N/A
11/9/2021,253.5416,#N/A N/A
11/8/2021,252.6228,#N/A N/A
11/5/2021,252.9145,#N/A N/A
11/4/2021,251.5096,#N/A N/A
11/3/2021,250.8052,#N/A N/A
11/2/2021,250.7375,#N/A N/A
11/1/2021,249.7678,#N/A N/A
10/29/2021,250.1095,#N/A N/A
10/28/2021,251.1173,#N/A N/A
10/27/2021,251.5405,#N/A N/A
10/26/2021,250.2039,#N/A N/A
10/25/2021,249.8953,#N/A N/A
10/22/2021,249.4522,#N/A N/A
10/21/2021,249.2404,#N/A N/A
10/20/2021,249.7692,#N/A N/A
10/19/2021,249.6232,#N/A N/A
10/18/2021,250.058,#N/A N/A
10/15/2021,250.5857,#N/A N/A
10/14/2021,250.818,#N/A N/A
10/13/2021,249.8486,#N/A N/A
10/12/2021,248.763,#N/A N/A
10/11/2021,248.7859,#N/A N/A
10/8/2021,249.304,#N/A N/A
10/7/2021,250.029,#N/A N/A
10/6/2021,249.8383,#N/A N/A
10/5/2021,249.8399,#N/A N/A
10/4/2021,250.4116,#N/A N/A
10/1/2021,250.3935,#N/A N/A
9/30/2021,249.8758,#N/A N/A
9/29/2021,250.1623,#N/A N/A
9/28/2021,250.0116,#N/A N/A
9/27/2021,250.9734,#N/A N/A
9/24/2021,251.0916,#N/A N/A
9/23/2021,251.8304,#N/A N/A
9/22/2021,252.8155,#N/A N/A
9/21/2021,252.7745,#N/A N/A
9/20/2021,252.5818,#N/A N/A
9/17/2021,252.2233,#N/A N/A
9/16/2021,252.7925,#N/A N/A
9/15/2021,253.1559,#N/A N/A
9/14/2021,253.643,#N/A N/A
9/13/2021,253.4314,#N/A N/A
9/10/2021,253.3692,#N/A N/A
9/9/2021,253.7685,#N/A N/A
9/8/2021,252.8273,#N/A N/A
9/7/2021,252.6961,#N/A N/A
9/6/2021,253.6508,#N/A N/A
9/3/2021,253.5057,#N/A N/A
9/2/2021,253.8638,#N/A N/A
9/1/2021,253.4984,#N/A N/A
8/31/2021,253.6341,#N/A N/A
8/27/2021,254.3426,#N/A N/A
8/26/2021,254.2353,#N/A N/A
8/25/2021,254.4117,#N/A N/A
8/24/2021,255.6029,#N/A N/A
8/23/2021,255.65,#N/A N/A
8/20/2021,255.8052,#N/A N/A
8/19/2021,255.7981,#N/A N/A
8/18/2021,255.8695,#N/A N/A
8/17/2021,255.7263,#N/A N/A
8/16/2021,255.8558,#N/A N/A
8/13/2021,255.6897,#N/A N/A
8/12/2021,255.7162,#N/A N/A
8/11/2021,255.8582,#N/A N/A
8/10/2021,256.0266,#N/A N/A
8/9/2021,255.7854,#N/A N/A
8/6/2021,255.429,#N/A N/A
8/5/2021,256.4672,#N/A N/A
8/4/2021,255.9195,#N/A N/A
8/3/2021,255.8758,#N/A N/A
8/2/2021,255.5041,#N/A N/A
7/30/2021,255.1299,#N/A N/A
7/29/2021,255.112,#N/A N/A
7/28/2021,254.9827,#N/A N/A
7/27/2021,254.9538,#N/A N/A
7/26/2021,254.5793,#N/A N/A
7/23/2021,254.4639,#N/A N/A
7/22/2021,254.3485,#N/A N/A
7/21/2021,253.4704,#N/A N/A
7/20/2021,253.948,#N/A N/A
7/19/2021,253.5919,#N/A N/A
7/16/2021,253.0824,#N/A N/A
7/15/2021,252.7987,#N/A N/A
7/14/2021,252.9018,#N/A N/A
7/13/2021,252.6491,#N/A N/A
7/12/2021,252.3659,#N/A N/A
7/9/2021,251.9306,#N/A N/A
7/8/2021,252.3971,#N/A N/A
7/7/2021,252.5405,#N/A N/A
7/6/2021,252.0128,#N/A N/A
7/5/2021,250.8854,#N/A N/A
7/2/2021,251.0892,#N/A N/A
7/1/2021,250.4752,#N/A N/A
6/30/2021,250.6326,#N/A N/A
6/29/2021,249.9872,#N/A N/A
6/28/2021,250.1851,#N/A N/A
6/25/2021,249.5569,#N/A N/A
6/24/2021,250.3421,#N/A N/A
6/23/2021,250.1977,#N/A N/A
6/22/2021,250.1103,#N/A N/A
6/21/2021,250.3391,#N/A N/A
6/18/2021,250.5109,#N/A N/A
6/17/2021,250.3778,#N/A N/A
6/16/2021,250.5806,#N/A N/A
6/15/2021,250.3599,#N/A N/A
6/14/2021,250.7522,#N/A N/A
6/11/2021,251.1884,#N/A N/A
6/10/2021,250.4301,#N/A N/A
6/9/2021,250.5015,#N/A N/A
6/8/2021,249.9284,#N/A N/A
6/7/2021,249.4931,#N/A N/A
6/4/2021,249.8199,#N/A N/A
6/3/2021,249.2767,#N/A N/A
6/2/2021,249.5115,#N/A N/A
6/1/2021,249.0438,#N/A N/A
5/31/2021,249.4176,#N/A N/A
5/28/2021,249.4212,#N/A N/A
5/27/2021,249.1949,#N/A N/A
5/26/2021,249.5619,#N/A N/A
5/25/2021,248.8003,#N/A N/A
5/24/2021,248.3719,#N/A N/A
5/21/2021,248.2096,#N/A N/A
5/20/2021,247.725,#N/A N/A
5/19/2021,247.4794,#N/A N/A
5/18/2021,247.6655,#N/A N/A
5/17/2021,247.6598,#N/A N/A
5/14/2021,247.818,#N/A N/A
5/13/2021,247.7618,#N/A N/A
5/12/2021,248.109,#N/A N/A
5/11/2021,248.6099,#N/A N/A
5/10/2021,249.613,#N/A N/A
5/7/2021,249.3243,#N/A N/A
5/6/2021,249.494,#N/A N/A
5/5/2021,249.689,#N/A N/A
5/4/2021,249.8698,#N/A N/A
5/3/2021,249.2502,#N/A N/A
4/30/2021,248.9237,#N/A N/A
4/29/2021,248.9045,#N/A N/A
4/28/2021,249.6165,#N/A N/A
4/27/2021,249.9898,#N/A N/A
4/26/2021,250.094,#N/A N/A
4/23/2021,250.0607,#N/A N/A
4/22/2021,250.415,#N/A N/A
4/21/2021,250.4888,#N/A N/A
4/20/2021,250.3458,#N/A N/A
4/19/2021,250.3713,#N/A N/A
4/16/2021,250.2435,#N/A N/A
4/15/2021,250.6211,#N/A N/A
4/14/2021,249.8041,#N/A N/A
4/13/2021,250.1613,#N/A N/A
4/12/2021,250.3542,#N/A N/A
4/9/2021,250.4488,#N/A N/A
4/8/2021,251.0078,#N/A N/A
4/7/2021,250.8073,#N/A N/A
4/6/2021,251.1549,#N/A N/A
4/1/2021,251.482,#N/A N/A
3/31/2021,250.825,#N/A N/A
3/30/2021,250.4086,#N/A N/A
3/29/2021,251.1769,#N/A N/A
3/26/2021,251.7333,#N/A N/A
3/25/2021,252.0469,#N/A N/A
3/24/2021,251.442,#N/A N/A
3/23/2021,251.2036,#N/A N/A
3/22/2021,250.6089,#N/A N/A
3/19/2021,250.4422,#N/A N/A
3/18/2021,250.1037,#N/A N/A
3/17/2021,250.4816,#N/A N/A
3/16/2021,251.5608,#N/A N/A
3/15/2021,251.3752,#N/A N/A
3/12/2021,250.8065,#N/A N/A
3/11/2021,251.8687,#N/A N/A
3/10/2021,251.6485,#N/A N/A
3/9/2021,251.5374,#N/A N/A
3/8/2021,250.7944,#N/A N/A
3/5/2021,250.6387,#N/A N/A
3/4/2021,251.111,#N/A N/A
3/3/2021,250.654,#N/A N/A
3/2/2021,251.6239,#N/A N/A
3/1/2021,251.3402,#N/A N/A
2/26/2021,249.8588,#N/A N/A
2/25/2021,249.5988,#N/A N/A
2/24/2021,250.7331,#N/A N/A
2/23/2021,251.4135,#N/A N/A
2/22/2021,252.0006,#N/A N/A
2/19/2021,251.4762,#N/A N/A
2/18/2021,252.019,#N/A N/A
2/17/2021,252.6004,#N/A N/A
2/16/2021,252.2866,#N/A N/A
2/15/2021,252.7852,#N/A N/A
2/12/2021,253.4372,#N/A N/A
2/11/2021,254.0516,#N/A N/A
2/10/2021,253.8149,#N/A N/A
